ID,Region,District,Garden,Layout,Floor,Size,Elevator,Year,Direction,Renovation,Price,PerPrice
20472,西城,马甸,新风南里,1室1厅,6,50,无电梯,1992,西西南,精装,650,13
20474,西城,马甸,新外大街10号院,2室1厅,6,64,无电梯,1994,南北,精装,820,12.8125
20481,西城,马甸,新风南里,1室1厅,6,54,无电梯,1991,东,精装,738,13.6667
20484,西城,西直门,前桃园1号,2室1厅,6,58,无电梯,1984,南北,精装,585,10.0862
20495,西城,德胜门,新街口东街,2室1厅,6,58,无电梯,1988,南北,精装,750,12.931
20501,西城,牛街,白纸坊东街,2室1厅,6,57,无电梯,1980,东西,精装,599,10.5088
20508,西城,广安门,小红庙,3室1厅,6,69,无电梯,1987,南北,精装,600,8.69565
20518,西城,西直门,德宝新园,2室1厅,6,58,无电梯,1992,东西,精装,555,9.56897
20553,西城,天宁寺,新居西里,3室1厅,5,56,无电梯,1979,南北,精装,500,8.92857
20560,西城,木樨地,温馨家园,1室1厅,7,63,无电梯,1999,南北,精装,850,13.4921
20580,西城,新街口,新街口西里一区,2室1厅,7,89,无电梯,2003,东,精装,782,8.78652
20595,西城,牛街,南横西街94号院,2室1厅,5,57,无电梯,1986,南北,精装,530,9.29825
20602,西城,木樨地,西便门外大街,2室1厅,4,65,无电梯,1956,东南,精装,588.5,9.05385
20608,西城,马甸,新外大街甲8号院,2室1厅,6,61,无电梯,1983,东西,精装,850,13.9344
20613,西城,右安门内,新安南里,2室1厅,6,50,无电梯,1979,南,精装,515,10.3
20621,西城,长椿街,西便门内大街79号院,2室1厅,5,65,无电梯,1974,东西,精装,622,9.56923
20622,西城,六铺炕,六铺炕二区,3室0厅,4,82,无电梯,1953,西,精装,820,10
20628,西城,天宁寺,广安门外车站东街,2室1厅,5,50,无电梯,1980,南,精装,490,9.8
20630,西城,新街口,新街口西里一区,2室1厅,7,89,无电梯,2003,东,精装,782,8.78652
20640,西城,新街口,新街口西里一区,2室1厅,6,50,无电梯,2004,东西,精装,515,10.3
20680,西城,马连道,红莲南里,2室1厅,7,60,无电梯,1991,南北,精装,510,8.5
20697,西城,金融街,羊肉胡同120号院,3室1厅,6,87,无电梯,1990,南北,精装,960,11.0345
20700,西城,木樨地,西便门西里,3室1厅,6,68,无电梯,1984,南北,精装,648,9.52941
